login_attempts,failed_logins,ip_reputation_score_log,session_id
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,1739
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,4984
3.0054240215614483,-0.20219419189322524,-0.1276637709807257,7854
-0.3748977203555824,-0.4387843061059989,-0.2759611473843222,3386
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,1608
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,6471
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,5794
3.0054240215614483,-0.20219419189322524,-0.1276637709807257,3923
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,328
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,919
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,4228
3.0054240215614483,-0.20219419189322524,-0.1276637709807257,2147
1.3783626865280298,1.3783626865280287,-0.08115931436856082,2386
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,6258
3.0054240215614483,-0.20219419189322524,-0.1276637709807257,3360
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,2332
1.3783626865280298,1.3783626865280287,-0.08115931436856079,547
1.3783626865280298,1.3783626865280287,-0.08115931436856076,7796
1.3783626865280298,1.3783626865280287,-0.08115931436856079,200
1.3783626865280298,1.3783626865280287,-0.08115931436856082,7737
3.0054240215614487,-0.20219419189322518,-0.12766377098072576,1401
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,6906
1.3783626865280298,1.3783626865280287,-0.08115931436856082,3028
1.3783626865280298,1.3783626865280287,-0.08115931436856082,3119
3.0054240215614483,-0.20219419189322524,-0.1276637709807257,2153
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,3924
1.3783626865280298,1.3783626865280287,-0.08115931436856082,4174
1.3783626865280298,1.3783626865280287,-0.08115931436856076,1292
1.3783626865280298,1.3783626865280287,-0.08115931436856082,2944
1.3783626865280298,1.3783626865280287,-0.08115931436856082,6219
3.0054240215614483,-0.20219419189322524,-0.1276637709807257,8165
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,7760
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,7732
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,5272
1.3783626865280298,1.3783626865280287,-0.08115931436856079,2295
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,1044
1.3783626865280298,1.3783626865280287,-0.08115931436856079,8457
3.0054240215614487,-0.20219419189322518,-0.12766377098072573,4025
1.3783626865280298,1.3783626865280287,-0.08115931436856082,171
1.3783626865280298,1.3783626865280287,-0.08115931436856082,4386
